SampleID,Numeric ID,Enrichment,Temperature,Substrate,Replicate,Time_Point,Date,Time,Minutes,Hours,Absorbance,TPA_Absorbance,Biomass_g_L
Laura1,,Laura1,25,TPA,,,,,,,1.423695,,
Laura2,,Laura2,25,TPA,,,,,,,1.557424,,
Emma2,,Emma2,25,TPA,,,,,,,0.5134,,
Laura1_30_TPA_R1_T1,1,Laura1,30,TPA,R1,T1,5/3/21,15:30,0,0,0.288841,,
Laura1_30_Pyrolysis_R1_T1,13,Laura1,30,Pyrolysis,R1,T1,5/3/21,15:30,0,0,0.287991,,
Laura1_30_Mix_R1_T1,25,Laura1,30,Mix,R1,T1,5/3/21,15:30,0,0,0.261362,,
Laura1_37_TPA_R1_T1,37,Laura1,37,TPA,R1,T1,5/3/21,15:30,0,0,0.26065,,
Laura1_37_Pyrolysis_R1_T1,49,Laura1,37,Pyrolysis,R1,T1,5/3/21,15:30,0,0,0.277265,,
Laura1_37_Mix_R1_T1,61,Laura1,37,Mix,R1,T1,5/3/21,15:30,0,0,0.288819,,
Laura1_30_TPA_R2_T1,2,Laura1,30,TPA,R2,T1,5/3/21,15:30,0,0,0.290673,,
Laura1_30_Pyrolysis_R2_T1,14,Laura1,30,Pyrolysis,R2,T1,5/3/21,15:30,0,0,0.277016,,
Laura1_30_Mix_R2_T1,26,Laura1,30,Mix,R2,T1,5/3/21,15:30,0,0,0.272555,,
Laura1_37_TPA_R2_T1,38,Laura1,37,TPA,R2,T1,5/3/21,15:30,0,0,0.262951,,
Laura1_37_Pyrolysis_R2_T1,50,Laura1,37,Pyrolysis,R2,T1,5/3/21,15:30,0,0,0.299978,,
Laura1_37_Mix_R2_T1,62,Laura1,37,Mix,R2,T1,5/3/21,15:30,0,0,0.28603,,
Laura1_30_TPA_R3_T1,3,Laura1,30,TPA,R3,T1,5/3/21,15:30,0,0,0.256585,,
Laura1_30_Pyrolysis_R3_T1,15,Laura1,30,Pyrolysis,R3,T1,5/3/21,15:30,0,0,0.273016,,
Laura1_30_Mix_R3_T1,27,Laura1,30,Mix,R3,T1,5/3/21,15:30,0,0,0.278691,,
Laura1_37_TPA_R3_T1,39,Laura1,37,TPA,R3,T1,5/3/21,15:30,0,0,0.276995,,
Laura1_37_Pyrolysis_R3_T1,51,Laura1,37,Pyrolysis,R3,T1,5/3/21,15:30,0,0,0.265327,,
Laura1_37_Mix_R3_T1,63,Laura1,37,Mix,R3,T1,5/3/21,15:30,0,0,0.265179,,
Laura2_30_TPA_R1_T1,4,Laura2,30,TPA,R1,T1,5/3/21,15:30,0,0,0.286867,,
Laura2_30_Pyrolysis_R1_T1,16,Laura2,30,Pyrolysis,R1,T1,5/3/21,15:30,0,0,0.359518,,
Laura2_30_Mix_R1_T1,28,Laura2,30,Mix,R1,T1,5/3/21,15:30,0,0,0.305918,,
Laura2_37_TPA_R1_T1,40,Laura2,37,TPA,R1,T1,5/3/21,15:30,0,0,0.295723,,
Laura2_37_Pyrolysis_R1_T1,52,Laura2,37,Pyrolysis,R1,T1,5/3/21,15:30,0,0,0.276221,,
Laura2_37_Mix_R1_T1,64,Laura2,37,Mix,R1,T1,5/3/21,15:30,0,0,0.296391,,
Laura2_30_TPA_R2_T1,5,Laura2,30,TPA,R2,T1,5/3/21,15:30,0,0,0.276989,,
Laura2_30_Pyrolysis_R2_T1,17,Laura2,30,Pyrolysis,R2,T1,5/3/21,15:30,0,0,0.302803,,
Laura2_30_Mix_R2_T1,29,Laura2,30,Mix,R2,T1,5/3/21,15:30,0,0,0.289554,,
Laura2_37_TPA_R2_T1,41,Laura2,37,TPA,R2,T1,5/3/21,15:30,0,0,0.291978,,
Laura2_37_Pyrolysis_R2_T1,53,Laura2,37,Pyrolysis,R2,T1,5/3/21,15:30,0,0,0.295925,,
Laura2_37_Mix_R2_T1,65,Laura2,37,Mix,R2,T1,5/3/21,15:30,0,0,0.303242,,
Laura2_30_TPA_R3_T1,6,Laura2,30,TPA,R3,T1,5/3/21,15:30,0,0,0.297091,,
Laura2_30_Pyrolysis_R3_T1,18,Laura2,30,Pyrolysis,R3,T1,5/3/21,15:30,0,0,0.294764,,
Laura2_30_Mix_R3_T1,30,Laura2,30,Mix,R3,T1,5/3/21,15:30,0,0,0.301952,,
Laura2_37_TPA_R3_T1,42,Laura2,37,TPA,R3,T1,5/3/21,15:30,0,0,0.305725,,
Laura2_37_Pyrolysis_R3_T1,54,Laura2,37,Pyrolysis,R3,T1,5/3/21,15:30,0,0,0.270477,,
Laura2_37_Mix_R3_T1,66,Laura2,37,Mix,R3,T1,5/3/21,15:30,0,0,0.301388,,
Emma2_30_TPA_R1_T1,7,Emma2,30,TPA,R1,T1,5/3/21,15:30,0,0,0.191209,,
